	0
2376	16965
2377	16979
2378	16991
2379	17002
2380	17009
2381	17013
2382	17019
2383	17068
2384	17077
2385	17078
2386	17084
2387	17089
2388	17091
2389	17102
2390	17104
2391	17106
2392	17111
2393	17112
2394	17113
2395	17120
2396	17121
2397	17124
2398	17125
2399	17142
2400	17144
2401	17146
2402	17158
2403	17160
2404	17165
2405	17173
2406	17179
2407	17180
2408	17181
2409	17198
2410	17216
2411	17217
2412	17219
2413	17221
2414	17241
2415	17245
2416	17253
2417	17255
2418	17257
2419	17258
2420	17262
2421	17266
2422	17267
2423	17281
2424	17287
2425	17288
2426	17289
2427	17291
2428	17309
2429	17326
2430	17328
2431	17343
2432	17344
2433	17352
2434	17374
2435	17378
2436	17398
2437	17401
2438	17403
2439	17407
2440	17410
2441	17423
2442	17428
2443	17451
2444	17459
2445	17472
2446	17474
2447	17479
2448	17480
2449	17481
2450	17483
2451	17484
2452	17492
2453	17498
2454	17502
2455	17506
2456	17507
2457	17508
2458	17510
2459	17513
2460	17514
2461	17516
2462	17517
2463	17519
2464	17521
2465	17522
2466	17523
2467	17525
2468	17526
2469	17533
2470	17542
2471	17544
2472	17545
2473	17548
2474	17549
2475	17550
2476	17555
2477	17584
2478	17587
2479	17593
2480	17597
2481	17599
2482	17600
2483	17604
2484	17605
2485	17614
2486	17620
2487	17629
2488	17631
2489	17632
2490	17633
2491	17650
2492	17651
2493	17654
2494	17657
2495	17660
2496	17662
2497	17678
2498	17680
2499	17702
2500	17710
2501	17711
2502	17714
2503	17717
2504	17719
2505	17729
2506	17731
2507	17734
2508	17735
2509	17754
2510	17757
2511	17770
2512	17774
2513	17779
2514	17781
2515	17786
2516	17807
2517	17810
2518	17814
2519	17816
2520	17822
2521	17829
2522	17831
2523	17835
2524	17845
2525	17858
2526	17860
2527	17861
2528	17863
